Subj_idx,Stimulus,Response,Confidence,RT_decConf,blocki,triali,keypress,coh_level,coherence,isCalibTrial,stairID,accTarget
1,1,1,4,0.42435407638549805,1,1,z,3,1.0,1,1,0.65
1,2,2,4,0.5271298885345459,1,2,slash,1,1.0,1,1,0.52
1,1,1,4,0.3806779384613037,1,3,z,3,1.0,1,2,0.65
1,2,2,4,0.4051520824432373,1,4,slash,1,1.0,1,2,0.52
1,1,2,1,0.9459199905395508,1,5,m,1,0.09949058049485845,1,2,0.52
1,2,2,4,1.5188288688659668,1,6,slash,5,1.0,1,1,0.78
1,1,1,1,1.1473829746246338,1,7,v,3,0.2602392584896463,1,2,0.65
1,1,1,1,0.567957878112793,1,8,v,1,0.09949058049485845,1,1,0.52
1,2,2,4,0.31693291664123535,1,9,slash,5,1.0,1,2,0.78
1,2,1,1,1.291877031326294,1,10,v,5,0.49404523106357984,1,2,0.78
1,2,1,1,0.6706211566925049,1,11,v,1,0.03138144571425708,1,1,0.52
1,2,1,1,0.4754180908203125,1,12,v,1,0.07220795000986752,1,1,0.52
1,2,1,4,0.9306478500366211,1,13,z,5,0.49404523106357984,1,1,0.78
1,2,2,4,1.9346318244934082,1,14,slash,5,1.0,1,1,0.78
1,2,1,4,1.355483055114746,1,15,z,1,0.34725624696401963,1,2,0.52
1,1,1,4,1.0877938270568848,1,16,z,1,0.16614875210349947,1,1,0.52
1,1,1,4,1.1319310665130615,1,17,z,1,0.0933130908461562,1,1,0.52
1,2,2,3,1.166456937789917,1,18,period,5,0.8383814834138437,1,1,0.78
1,1,1,4,1.1811308860778809,1,19,z,1,0.7990282522261339,1,2,0.52
1,1,1,4,0.4389619827270508,1,20,z,5,1.0,1,2,0.78
1,2,2,4,1.895965814590454,1,21,slash,5,0.702883511731197,1,1,0.78
1,2,2,4,1.4065089225769043,1,22,slash,1,0.44875327045596414,1,2,0.52
1,1,1,4,0.49121594429016113,1,23,z,5,0.8383814834138437,1,2,0.78
1,2,2,3,1.732555866241455,1,24,period,3,0.2602392584896463,1,1,0.65
1,2,2,3,1.5469169616699219,1,25,period,1,0.25203050978969777,1,2,0.52
1,2,2,3,1.1007509231567383,1,26,period,1,0.14154632856561664,1,2,0.52
1,2,2,3,0.9069840908050537,1,27,period,3,0.1327575470028123,1,2,0.65
1,2,1,4,1.2996981143951416,1,28,z,5,0.5892845212323328,1,1,0.78
1,1,2,3,0.9914989471435547,1,29,period,1,0.052406851168156354,1,1,0.52
1,1,1,4,1.53187894821167,1,30,z,1,0.07949578464577023,1,2,0.52
1,2,2,3,3.0195600986480713,1,31,period,3,0.06772447165924093,1,2,0.65
1,1,1,4,2.021205186843872,1,32,z,5,0.702883511731197,1,2,0.78
1,2,2,3,0.3827948570251465,1,33,period,5,0.9715659246500883,1,1,0.78
1,2,2,3,1.422239065170288,1,34,period,3,0.03454872559091625,1,2,0.65
1,1,2,3,1.221040964126587,1,35,period,1,0.08640429025135524,1,1,0.52
1,1,2,3,0.6041450500488281,1,36,period,1,0.1424565912171571,1,1,0.52
1,1,2,3,1.4864659309387207,1,37,period,1,0.04464672337663009,1,2,0.52
1,2,1,4,0.6947879791259766,1,38,z,5,0.8638401651184007,1,1,0.78
1,1,1,1,1.9038169384002686,1,39,v,3,0.1327575470028123,1,1,0.65
1,1,2,3,0.8314111232757568,1,40,period,3,0.01762456628620392,1,2,0.65
1,2,2,3,0.7165110111236572,1,41,period,3,0.06772447165924093,1,1,0.65
1,2,2,3,0.4306020736694336,1,42,period,1,0.07361000249811468,1,2,0.52
1,2,2,4,1.5174269676208496,1,43,slash,3,0.03454872559091625,1,1,0.65
1,1,1,4,0.5150361061096191,1,44,z,5,1.0,1,1,0.78
1,2,2,3,1.335575819015503,1,45,period,3,0.0405537021119977,1,2,0.65
1,2,2,3,2.2886929512023926,1,46,period,1,0.050107241341082034,1,2,0.52
1,1,2,3,0.7714920043945312,1,47,period,1,0.03410862042665664,1,2,0.52
1,1,2,3,0.8230209350585938,1,48,period,3,0.028965011810970165,1,2,0.65
1,2,2,3,0.49109888076782227,1,49,period,1,0.048749405764327236,1,2,0.52
1,2,2,3,0.4203779697418213,1,50,period,1,0.03653356654872188,1,2,0.52
1,1,1,4,0.26610684394836426,1,51,z,5,0.5892845212323328,1,2,0.78
1,1,1,4,0.505728006362915,1,52,z,5,0.9156317400646636,1,1,0.78
1,2,2,3,1.1172609329223633,1,53,period,3,0.01762456628620392,1,1,0.65
1,2,2,3,0.6215939521789551,1,54,period,3,0.008990934729542304,1,1,0.65
1,2,2,3,0.5149729251861572,1,55,period,1,0.23487121209115996,1,1,0.52
1,1,1,4,0.8155460357666016,1,56,z,3,0.04775523107882695,1,2,0.65
1,2,1,1,0.9944992065429688,1,57,v,5,0.49404523106357984,1,2,0.78
1,1,2,3,0.7289230823516846,1,58,period,3,0.038157778823570236,1,2,0.65
1,1,2,3,0.9262139797210693,1,59,period,5,0.8383814834138437,1,1,0.78
1,2,2,3,0.8580379486083984,1,60,period,3,0.054536625042797555,1,2,0.65
1,2,1,1,0.9425830841064453,2,61,v,3,0.04609033450389207,1,2,0.65
1,1,1,4,0.9165699481964111,2,62,z,1,0.02737882572809879,1,2,0.52
1,1,1,4,0.6862919330596924,2,63,z,5,1.0,1,1,0.78
1,2,2,1,2.301246166229248,2,64,m,3,0.004586604061523324,1,1,0.65
1,2,2,3,0.8901259899139404,2,65,period,3,0.002339794187144896,1,1,0.65
1,1,1,4,1.1847100257873535,2,66,z,3,0.0014727540500736377,1,1,0.65
1,1,1,4,0.5465958118438721,2,67,z,1,0.020518119884351364,1,2,0.52
1,2,1,1,1.1003429889678955,2,68,v,3,0.0014727540500736377,1,1,0.65
1,1,2,3,0.6986119747161865,2,69,period,3,0.060848127228554615,1,2,0.65
1,1,2,3,1.667659044265747,2,70,period,5,0.8145428811424837,1,2,0.78
1,2,1,4,0.5924811363220215,2,71,z,5,0.931915791810856,1,1,0.78
1,1,2,3,0.6017029285430908,2,72,period,1,0.15987974607969402,1,1,0.52
1,1,2,3,0.4839038848876953,2,73,period,1,0.22850653346991995,1,1,0.52
1,1,1,4,0.4282360076904297,2,74,z,1,0.32659068530426816,1,1,0.52
1,1,2,3,0.22801518440246582,2,75,period,3,0.003388771562434203,1,1,0.65
1,2,1,4,0.7882430553436279,2,76,z,3,0.007797481664904309,1,1,0.65
1,1,1,4,1.2590031623840332,2,77,z,1,0.24475216361482605,1,1,0.52
1,1,2,3,1.2975990772247314,2,78,period,3,0.017941817320623655,1,1,0.65
1,1,2,3,0.7413620948791504,2,79,period,1,0.01537659970407536,1,2,0.52
1,2,2,3,2.2047808170318604,2,80,period,1,0.18342109646614502,1,1,0.52
1,1,2,3,0.9388420581817627,2,81,period,3,0.08033125875685963,1,2,0.65
1,2,2,4,1.648798942565918,2,82,slash,5,1.0,1,2,0.78
1,1,2,3,3.986553907394409,2,83,period,3,0.10605274849664134,1,2,0.65
1,2,1,4,0.5828361511230469,2,84,z,5,0.889121513220541,1,2,0.78
1,1,1,4,0.5099499225616455,2,85,z,5,1.0,1,2,0.78
1,2,2,3,0.6264779567718506,2,86,period,1,0.1374586362463719,1,1,0.52
1,2,2,3,1.5209639072418213,2,87,period,1,0.10301365024387973,1,1,0.52
1,2,2,1,1.3425569534301758,2,88,m,3,0.14001007375888339,1,2,0.65
1,1,1,4,0.9938130378723145,2,89,z,5,1.0,1,1,0.78
1,2,2,4,0.8641819953918457,2,90,slash,5,0.9429324011935007,1,1,0.78
1,2,2,1,1.1945619583129883,2,91,m,1,0.07720003941802873,1,1,0.52
1,1,2,4,0.8716299533843994,2,92,slash,1,0.020300076039958516,1,2,0.52
1,1,2,4,1.1150500774383545,2,93,slash,1,0.05785491604302487,1,1,0.52
1,2,2,4,1.323423147201538,2,94,slash,5,0.889121513220541,1,1,0.78
1,1,1,2,1.395447015762329,2,95,c,1,0.07637964293546291,1,1,0.52
1,2,2,4,0.3019599914550781,2,96,slash,3,0.12237608791554765,1,2,0.65
1,2,2,4,1.0908679962158203,2,97,slash,1,0.026800013992617503,1,2,0.52
1,2,2,4,0.5921039581298828,2,98,slash,3,0.04128368909355832,1,1,0.65
1,2,1,4,0.4973180294036865,2,99,z,3,0.10696306695262814,1,2,0.65
1,1,1,4,2.507749080657959,2,100,z,5,0.8383814834138437,1,1,0.78
1,1,1,4,0.5522119998931885,2,101,z,5,0.9156317400646636,1,2,0.78
1,2,2,3,0.5059919357299805,2,102,period,5,0.7905370652715847,1,1,0.78
1,1,2,1,0.8616371154785156,2,103,m,1,0.02127713833857717,1,2,0.52
1,1,1,4,1.7349460124969482,2,104,z,3,0.029486396553708664,1,1,0.65
